,"ID_OLD
ID_OLD","ID
ID","CompanyName
公司名称","CompanyName2
公司名称2","Street1
街道1","Street2
街道 2","StreetNr
街道编号","Zip
邮政编码","City
城市","Country
国家","State
州/省","Contact
联系方式","Homepage
主页","Extended
扩展","VM_ID
VM_ID","Comment
评论","Autor
作者","Testfield
测试场"
0,1.0,1,"BMW
宝马",,,,,,,"Germany
德国",,,,0.0,,,,
1,5.0,5,"Linde AG
林德股份公司",,"Seitnerstraße
Seitnerstraße",,70.0,82049,"Pullach
拉钩","Germany
德国","Bayern
拜仁",,http://www.linde-gas.com/en/innovations/hydrogen_energy_h2/index.html ,1.0,-1.0,,,
2,6.0,6,"Honda
本田",,,,,,,"Japan
日本",,,,0.0,,,,
3,7.0,7,"Toyota
丰田",,,,,,,"Japan
日本",,,,0.0,,,,
4,8.0,8,"Hyundai
现代汽车",,,,,,,"Korea
韩国",,,,0.0,,,,
5,12.0,12,"Ford Motor Corp.
福特汽车公司",,,,,,,"United States
美国",,,,0.0,,,,
6,13.0,13,"Ballard Power Systems
巴拉德电力系统公司",,,,,,,"Canada
加拿大",,,,0.0,,,,
7,17.0,17,"Tongji University
同济大学",,,,,,,"China
中国",,,,0.0,,,,
8,20.0,20,"TotalEnergies
总能源",,,,,,,"France
法国",,,https://totalenergies.com,,,"beinhaltet auch Pitpoint
还包括 Pitpoint","eps
eps",
9,21.0,21,"Fiat
菲亚特",,,,,,"Napoli
那不勒斯","Italy
意大利",,,,0.0,,,,
10,22.0,22,"Daimler AG
戴姆勒股份公司",,,,,,"Stuttgart
斯图加特","Germany
德国",,,,0.0,,,,
11,23.0,23,"OMV
OMV",,,,,,,"Austria
奥地利",,,,0.0,,,,
12,24.0,24,"ET Energie Technologie
ET 能源技术","private owned independent enterprise (SME)
私营独立企业",,,,,,"Germany
德国",,,,0.0,,,,
13,25.0,25,"Enova
Enova",,,,,,,,,,,,,,,
14,28.0,28,"H2 Logic
H2 逻辑","Hydrogen & Fuel Cell related Work Packages
氢能和燃料电池相关工作包",,,,,,"Denmark
丹麦",,,"www.h2logic.com
www.h2logic.com",0.0,,"ist jetzt identisch NEL
现在与 NEL","eps
eps",
15,36.0,36,"Planet
行星",,,,,,,"Germany
德国",,,,,,,,
